Item, ,,Quantity,Unit Price (INR),Total (INR),Links
1,Seeed Studio XIAO ESP32C3,,1,1650,1650,https://www.amazon.in/dp/B0B94JZ2YF?psc=1&ref_=cm_sw_r_cp_ud_ct_FZNY22395XJZ99EDRYDT
2,BME280 ,,1,450,450,https://www.amazon.in/dp/B08SVZ9LJR?psc=1&ref_=cm_sw_r_cp_ud_ct_FZNY22395XJZ99EDRYDT_1
3,"	5mm LDR Sensor Photoresistor Photo Cell",,2,16,32,https://robu.in/product/5mm-ldr-sensor-photoresistor-photo-cell-100-200k-gl5549/
4,2.8 inch SPI Touch Screen Module TFT ,,1,807,807,https://robu.in/product/2-8-inch-spi-touch-screen-module-tft-interface-240320/
,,,,,,
6,Lithium Polymer Battery,,1,500,500,https://www.amazon.in/dp/B0FT42CFXZ?psc=1&ref_=cm_sw_r_cp_ud_ct_FZNY22395XJZ99EDRYDT_2
7,Misc (Wires/Solder),,1,500,500,
8,10k ohm resistor,,1,1,1,https://robu.in/product/10k-ohm-0-5w-metal-film-resistor-pack-of-50/
9,1M ohm resistor,,1,1,1,https://robu.in/product/1m-ohm-0-5w-metal-film-resistor-pack-of-50/
,,,,,3941,
